,edades,genero,salarios,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaños_empresa,lenguaje_programacion
594,30-44,Mujes,bajo,Mexico,Grado Universitario,Data Analyst,5-10 years,Académico/Educación,Startup,"Python, R"
595,30-44,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,1-3 years,Otros,Startup,"Python, SQL"
596,18-29,Hombre,No sabe/No contesta,Mexico,Grado Universitario,Business Analyst,1-3 years,Tecnológico,Multinacional,"Python, R, SQL"
597,18-29,Hombre,bajo,Grecia,Grado Universitario,Data Analyst,1-3 years,Ventas al por menor,Startup,"Python, R, SQL, C, MATLAB"
598,18-29,Mujes,No sabe/No contesta,Egipto,Bachillerato,Business Analyst,< 1 years,Energía/Minería,Startup,"Python, C, C++"
599,45-59,Hombre,No sabe/No contesta,Paises Bajos,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Multinacional, SQL
600,18-29,Mujes,bajo,Rusia,Grado Universitario,Business Analyst,< 1 years,Médico/farmacéutico,Grande,Python
601,18-29,Hombre,bajo,India,Master,Data Analyst,5-10 years,Tecnológico,Startup,"Python, SQL"
602,18-29,Hombre,alto,India,Master,Data Analyst,20+ years,Tecnológico,Pequeña,"Python, R, SQL, Bash"
603,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Ventas al por menor,Mediana,"Python, SQL"
604,45-59,Prefiero no decirlo,alto,Otros,Bachillerato,Data Analyst,20+ years,Tecnológico,Pequeña,"Python, SQL, Javascript, Bash, Other"
605,18-29,Hombre,No sabe/No contesta,Estados Unidos,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
606,30-44,Hombre,bajo,Nigeria,Grado Universitario,Data Analyst,1-3 years,Energía/Minería,Mediana,"Python, SQL"
607,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Startup," C++, Java"
608,18-29,Hombre,No sabe/No contesta,Indonesia,Grado Universitario,Data Analyst,3-5 years,Otros,Startup,"Python, R, SQL"
609,45-59,Hombre,medio,Mexico,Master,Data Analyst,1-3 years,Radio/Comunicaciones,Pequeña,Python
610,30-44,Hombre,alto,Singapur,Grado Universitario,Data Analyst,< 1 years,Energía/Minería,Multinacional,"Python, R"
611,30-44,Mujes,bajo,Canada,Master,Business Analyst,< 1 years,Académico/Educación,Mediana,"Python, SQL"
612,18-29,Hombre,bajo,India,Grado Universitario,Business Analyst,< 1 years,Tecnológico,Grande,"Python, SQL"
613,18-29,Hombre,medio,India,Master,Business Analyst,< 1 years,Fabricación,Pequeña,"Python, R, SQL"
614,30-44,Hombre,No sabe/No contesta,Otros,Grado Universitario,Data Analyst,1-3 years,Ventas al por menor,Mediana,"Python, SQL"
615,30-44,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Mediana,"Python, SQL"
616,18-29,Mujes,No sabe/No contesta,Francia,Master,Business Analyst,< 1 years,Hostelería/Entretenimiento/Deportes,Startup,"Python, R, SQL"
617,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,No sabe/No contesta,"Python, C, C++"
618,30-44,Mujes,No sabe/No contesta,Canada,Master,Data Analyst,3-5 years,Ventas al por menor,Startup,"Python, Javascript, MATLAB"
619,30-44,Hombre,alto,India,Master,Data Analyst,5-10 years,Marketing/CRM,Mediana,"Python, R, SQL"
620,45-59,Hombre,alto,Japon,Bachillerato,Data Analyst,10-20 years,Tecnológico,Grande,"Python, SQL"
621,18-29,Hombre,bajo,Mexico,Estudios Univertarios sin licenciatura,Business Analyst,< 1 years,Energía/Minería,Startup, Other
622,18-29,Mujes,bajo,India,Grado Universitario,Data Analyst,I have never written code,Radio/Comunicaciones,Mediana,No sabe/No contesta
623,30-44,Hombre,alto,Singapur,Estudios Univertarios sin licenciatura,Data Analyst,3-5 years,Contabilidad/Finanzas,Startup,"Python, SQL"
624,30-44,Hombre,alto,Alemania,Doctorado,Business Analyst,10-20 years,Médico/farmacéutico,Multinacional,"Python, SQL, Javascript"
625,18-29,Hombre,bajo,Rusia,Master,Data Analyst,1-3 years,Ventas al por menor,Startup,"Python, SQL"
626,60-70+,Hombre,alto,Estados Unidos,Doctorado,Business Analyst,10-20 years,Académico/Educación,Startup,Python
627,30-44,Hombre,alto,Alemania,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Grande,Python
628,18-29,Hombre,No sabe/No contesta,Mexico,Master,Data Analyst,3-5 years,ONG/Servicio,Startup,"Python, SQL"
629,30-44,Hombre,alto,Estados Unidos,Master,Data Analyst,1-3 years,Fabricación,Multinacional,"Python, R, SQL"
630,45-59,Hombre,alto,Estados Unidos,Doctorado,Data Analyst,5-10 years,Energía/Minería,Mediana,Python
631,30-44,Hombre,bajo,Argentina,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, R, SQL, Julia"
632,18-29,Hombre,bajo,Japon,Estudios Univertarios sin licenciatura,Business Analyst,1-3 years,Fabricación,Startup,"Python, SQL"
633,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Pequeña,Python
634,30-44,Hombre,alto,Alemania,Doctorado,Data Analyst,< 1 years,Tecnológico,Multinacional,"Python, R, SQL"
635,45-59,Hombre,medio,Otros,Master,Data Analyst,3-5 years,Académico/Educación,Grande,"Python, R, SQL"
636,30-44,Hombre,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Startup, SQL
637,30-44,Hombre,No sabe/No contesta,Rusia,Master,Business Analyst,1-3 years,Marketing/CRM,Startup,"Python, SQL"
638,30-44,Hombre,No sabe/No contesta,India,Master,Data Analyst,10-20 years,,No sabe/No contesta,"Python, SQL, Other"
639,45-59,Mujes,medio,Brasil,Doctorado,Data Analyst,10-20 years,Académico/Educación,Grande,Python
640,18-29,Hombre,No sabe/No contesta,Australia,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, Java"
641,18-29,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,1-3 years,Energía/Minería,Pequeña,Python
642,18-29,Mujes,bajo,Rusia,Grado Universitario,Business Analyst,I have never written code,Gobierno/servicio público,Startup,No sabe/No contesta
643,30-44,Mujes,medio,Tailandia,Master,Data Analyst,< 1 years,Energía/Minería,Mediana," R, SQL, MATLAB"
644,45-59,Hombre,bajo,Rusia,Prefiero no responder,Data Analyst,1-3 years,Gobierno/servicio público,Grande,Python
645,18-29,Hombre,medio,Hong Kong (S.A.R.),Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Grande,"Python, SQL"
646,18-29,Hombre,bajo,Malasia,Grado Universitario,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional, SQL
647,18-29,Hombre,alto,Japon,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Fabricación,Grande,Python
648,30-44,Hombre,alto,Estados Unidos,Master,Data Analyst,< 1 years,Tecnológico,Multinacional,Python
649,30-44,Mujes,bajo,Republica Checa,Master,Data Analyst,< 1 years,Envío/Transporte,Mediana,Python
650,18-29,Hombre,bajo,Otros,Grado Universitario,Data Analyst,5-10 years,Ventas al por menor,Startup,"Python, R, SQL, Java, Javascript"
651,18-29,Hombre,bajo,Indonesia,Bachillerato,Data Analyst,I have never written code,Académico/Educación,Startup,No sabe/No contesta
652,30-44,Hombre,bajo,India,Master,Data Analyst,1-3 years,Gobierno/servicio público,Multinacional,"Python, SQL, C, Javascript"
653,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Business Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Pequeña," R, C, Bash, MATLAB"
654,30-44,Hombre,No sabe/No contesta,Nigeria,Grado Universitario,Business Analyst,1-3 years,Contabilidad/Finanzas,Mediana,Python
655,18-29,Hombre,alto,Canada,Master,Data Analyst,1-3 years,Gobierno/servicio público,Grande,"Python, R, SQL, C, Java"
656,45-59,Hombre,No sabe/No contesta,Argentina,Grado Universitario,Business Analyst,1-3 years,,No sabe/No contesta, Other
657,18-29,Mujes,No sabe/No contesta,No deseo revelar mi ubicacion,Doctorado,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña,"Python, R, SQL"
658,30-44,Hombre,bajo,India,Estudios Univertarios sin licenciatura,Data Analyst,I have never written code,Envío/Transporte,Multinacional,No sabe/No contesta
659,30-44,Hombre,alto,Canada,Master,Business Analyst,1-3 years,Gobierno/servicio público,Multinacional,Python
660,30-44,Mujes,alto,Estados Unidos,Master,Business Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
661,30-44,Hombre,medio,India,Master,Data Analyst,5-10 years,Fabricación,Mediana,"Python, R, SQL"
662,45-59,Hombre,medio,Mexico,Master,Business Analyst,3-5 years,Tecnológico,Pequeña,"Python, SQL, C, Java, Javascript, Bash"
663,30-44,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,10-20 years,Otros,Multinacional, SQL
664,45-59,Hombre,bajo,Ecuador,Master,Business Analyst,1-3 years,Médico/farmacéutico,Pequeña,Python
665,30-44,Hombre,alto,Corea del Sur,Master,Data Analyst,< 1 years,Gobierno/servicio público,Pequeña,Python
666,30-44,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,5-10 years,Académico/Educación,Pequeña,"Python, SQL, Other"
667,18-29,Hombre,No sabe/No contesta,Turquia,Grado Universitario,Data Analyst,1-3 years,,No sabe/No contesta,Python
668,18-29,Hombre,bajo,Brasil,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, R, SQL"
669,30-44,Hombre,bajo,Nigeria,Master,Data Analyst,< 1 years,Energía/Minería,Startup," SQL, C++, MATLAB"
670,60-70+,Prefiero no decirlo,No sabe/No contesta,Otros,Bachillerato,Business Analyst,I have never written code,Académico/Educación,Startup,No sabe/No contesta
671,18-29,Hombre,bajo,India,Master,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL, MATLAB"
672,30-44,Hombre,medio,India,Doctorado,Business Analyst,I have never written code,Médico/farmacéutico,Multinacional,No sabe/No contesta
673,30-44,Hombre,alto,India,Master,Data Analyst,10-20 years,Tecnológico,Multinacional, SQL
674,18-29,Hombre,No sabe/No contesta,Indonesia,Grado Universitario,Data Analyst,I have never written code,Marketing/CRM,Multinacional,No sabe/No contesta
675,18-29,Hombre,alto,Estados Unidos,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Grande,"Python, Other"
676,18-29,Mujes,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Startup,"Python, SQL"
677,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,3-5 years,Médico/farmacéutico,Grande,"Python, SQL"
678,18-29,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,1-3 years,Académico/Educación,Startup, Javascript
679,30-44,Hombre,alto,Estados Unidos,Master,Data Analyst,3-5 years,Médico/farmacéutico,Grande,"Python, R, SQL"
680,45-59,Mujes,alto,Singapur,Master,Business Analyst,< 1 years,Radio/Comunicaciones,Pequeña, None
681,30-44,No binario,alto,Estados Unidos,Master,Data Analyst,3-5 years,Militar/Seguridad/Defensa,Grande,"Python, R, SQL, Bash"
682,30-44,Hombre,No sabe/No contesta,Rusia,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Ventas al por menor,Startup,"Python, SQL, MATLAB"
683,60-70+,Hombre,No sabe/No contesta,Pakistan,Grado Universitario,Data Analyst,10-20 years,Contabilidad/Finanzas,Startup,"Python, SQL"
684,30-44,Hombre,bajo,Bangladesh,Master,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Startup,"Python, R, SQL"
685,30-44,Mujes,No sabe/No contesta,Nigeria,Master,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, R"
686,30-44,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,I have never written code,Gobierno/servicio público,Grande,No sabe/No contesta
687,18-29,Hombre,bajo,India,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, R, MATLAB"
688,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,< 1 years,Seguro/Evaluación de Riesgos,Multinacional,"Python, SQL"
689,30-44,Hombre,bajo,India,Master,Data Analyst,< 1 years,Otros,Multinacional, None
690,18-29,Hombre,medio,Estados Unidos,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Envío/Transporte,Multinacional,"Python, SQL, Javascript"
691,30-44,Hombre,bajo,Egipto,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, SQL"
692,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,Python
693,30-44,Hombre,bajo,Taiwan,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R, C"
694,18-29,Hombre,No sabe/No contesta,Nigeria,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Startup,Python
695,18-29,Hombre,bajo,Malasia,Grado Universitario,Business Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, SQL"
696,18-29,Hombre,bajo,India,Master,Data Analyst,5-10 years,Tecnológico,Mediana,"Python, R, SQL, Bash"
697,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,Python
698,18-29,Hombre,bajo,Peru,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Ventas al por menor,Mediana,"Python, R, SQL"
699,30-44,Hombre,No sabe/No contesta,Rusia,Grado Universitario,Data Analyst,< 1 years,,No sabe/No contesta,"Python, SQL"
700,30-44,Hombre,No sabe/No contesta,Alemania,Doctorado,Data Analyst,5-10 years,,No sabe/No contesta,"Python, R, MATLAB"
701,30-44,Hombre,bajo,Rusia,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Pequeña,"Python, SQL"
702,18-29,Hombre,bajo,Rusia,Grado Universitario,Data Analyst,3-5 years,Ventas al por menor,Mediana,"Python, C++"
703,30-44,Hombre,alto,Estados Unidos,Master,Data Analyst,< 1 years,Gobierno/servicio público,Grande, None
704,30-44,Hombre,alto,Francia,Master,Data Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña, SQL
705,45-59,Hombre,medio,Otros,Master,Business Analyst,< 1 years,Tecnológico,Startup,"Python, Other"
706,30-44,Mujes,bajo,India,Grado Universitario,Data Analyst,3-5 years,Ventas al por menor,Grande,"Python, SQL"
707,30-44,Hombre,alto,Estados Unidos,Master,Business Analyst,5-10 years,Médico/farmacéutico,Multinacional,"Python, SQL, Javascript"
708,30-44,Hombre,medio,Colombia,Grado Universitario,Data Analyst,1-3 years,Marketing/CRM,Grande,"Python, SQL"
709,30-44,Hombre,alto,Estados Unidos,Master,Data Analyst,I have never written code,Ventas al por menor,Startup,No sabe/No contesta
710,45-59,Mujes,alto,Paises Bajos,Master,Data Analyst,10-20 years,Contabilidad/Finanzas,Grande,"Python, SQL"
711,18-29,Hombre,bajo,India,Master,Business Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
712,18-29,Mujes,medio,Malasia,Grado Universitario,Data Analyst,I have never written code,Marketing/CRM,Grande,No sabe/No contesta
713,30-44,Hombre,alto,Estados Unidos,Grado Universitario,Business Analyst,1-3 years,Radio/Comunicaciones,Multinacional,"Python, SQL"
714,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Envío/Transporte,Startup,"Python, Javascript"
715,18-29,Hombre,bajo,Otros,Doctorado Profesional,Data Analyst,< 1 years,ONG/Servicio,Startup,"Python, R, SQL, Java, Javascript"
716,18-29,Hombre,bajo,India,Master,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Grande, None
717,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,I have never written code,Tecnológico,Pequeña,No sabe/No contesta
718,18-29,Hombre,No sabe/No contesta,Portugal,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL"
719,18-29,Mujes,No sabe/No contesta,Rusia,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, SQL, MATLAB"
720,30-44,Hombre,bajo,Peru,Master,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Mediana,"Python, R, SQL, MATLAB"
721,30-44,Hombre,No sabe/No contesta,Mexico,Doctorado,Business Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL, Other"
722,30-44,Hombre,medio,Rusia,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Bash, Other"
723,18-29,Hombre,No sabe/No contesta,Indonesia,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, C++, Java"
724,18-29,Mujes,No sabe/No contesta,Tailandia,Master,Data Analyst,I have never written code,Gobierno/servicio público,Grande,No sabe/No contesta
725,18-29,Hombre,bajo,India,Grado Universitario,Business Analyst,< 1 years,Marketing/CRM,Mediana,"Python, SQL"
726,18-29,Hombre,bajo,Nigeria,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Mediana,Python
727,30-44,Mujes,bajo,Irlanda,Grado Universitario,Business Analyst,1-3 years,Envío/Transporte,Multinacional, Other
728,45-59,Hombre,alto,España,Doctorado,Business Analyst,20+ years,Energía/Minería,Pequeña,"Python, SQL, Java, Javascript"
729,18-29,Hombre,bajo,India,Master,Data Analyst,I have never written code,Negocios en línea/ventas basadas en Internet,Startup,No sabe/No contesta
730,30-44,Hombre,No sabe/No contesta,India,Grado Universitario,Business Analyst,I have never written code,Seguro/Evaluación de Riesgos,Multinacional,No sabe/No contesta
731,18-29,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,< 1 years,Marketing/CRM,Mediana,"Python, SQL"
732,30-44,Hombre,bajo,Egipto,Grado Universitario,Data Analyst,I have never written code,Médico/farmacéutico,Grande,No sabe/No contesta
733,18-29,Mujes,No sabe/No contesta,Otros,Grado Universitario,Data Analyst,3-5 years,Académico/Educación,Startup,"Python, R, SQL, C++, Javascript, MATLAB"
734,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,3-5 years,,No sabe/No contesta,"Python, R, SQL, C, MATLAB"
735,45-59,Hombre,medio,Nigeria,Grado Universitario,Data Analyst,10-20 years,Contabilidad/Finanzas,Multinacional," SQL, Other"
736,18-29,Hombre,No sabe/No contesta,China,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, MATLAB"
737,18-29,Hombre,bajo,Japon,Grado Universitario,Data Analyst,< 1 years,Fabricación,Grande,Python
738,30-44,Hombre,medio,Peru,Grado Universitario,Data Analyst,10-20 years,Académico/Educación,Startup,"Python, SQL, Other"
739,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, R, SQL, Javascript"
740,18-29,Hombre,bajo,India,Master,Data Analyst,1-3 years,Ventas al por menor,Pequeña,"Python, SQL, C"
741,30-44,Hombre,bajo,Filipinas,Grado Universitario,Business Analyst,I have never written code,ONG/Servicio,Startup,No sabe/No contesta
742,30-44,Hombre,No sabe/No contesta,Turquia,Doctorado,Data Analyst,5-10 years,Militar/Seguridad/Defensa,Multinacional,"Python, SQL, MATLAB"
743,45-59,Hombre,alto,Singapur,Master,Data Analyst,3-5 years,Gobierno/servicio público,Grande,"Python, R"
744,18-29,Hombre,bajo,Egipto,Grado Universitario,Data Analyst,< 1 years,Médico/farmacéutico,Grande,"Python, R, SQL, Java, Javascript, Swift, Bash"
745,18-29,Hombre,bajo,China,Doctorado Profesional,Business Analyst,3-5 years,Radio/Comunicaciones,Grande,"Python, SQL"
746,45-59,Hombre,alto,España,Doctorado,Data Analyst,20+ years,Académico/Educación,Mediana,"Python, R, C++, MATLAB, Other"
747,30-44,Mujes,No sabe/No contesta,Suecia,Bachillerato,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,"Python, SQL"
